Source_Page,Extraction_Source,Compound_Type,Example_ID,Chemical_Name,SMILES,IUPAC_EN,Confidence_Level,Data_Quality_Flag
31,"Image, Text",Target_Compound,Example 3,,C(CCCCCCC\C=C/C\C=C/CCCCC)N(NCCCCCCCC\C=C/C\C=C/CCCCC)CCCCN1CCCC1,"1-(4-(1,2-di((9Z,12Z)-octadeca-9,12-dien-1-yl)hydrazinyl)butyl)pyrrolidine",HIGH,OK
31,"Image, Text",Target_Compound,Example 5,,CN(CCCC(=O)N(NCCCCCCCC\C=C/CCCCCCCC)CCCCCCCC\C=C/C\C=C/CCCCC)C,"4-(dimethylamino)-N'-((Z)-octadec-9-en-1-yl)-N-((9Z,12Z)-octadeca-9,12-dien-1-yl)butanehydrazide",HIGH,OK
31,"Image, Text",Target_Compound,Example 7,,C(CCCCCCC\C=C/C\C=C/CCCCC)N(NCCCCN1CCCC1)CCCCCCCC\C=C/C\C=C/CCCCC,"1-(4-(2,2-di((9Z,12Z)-octadeca-9,12-dien-1-yl)hydrazinyl)butyl)pyrrolidine",HIGH,OK
32,"Image, Text",Target_Compound,Example 10,,CN(CCCC(=O)NN(CCCCCCCC\C=C/C\C=C/CCCCC)CCCCCCCC\C=C/C\C=C/CCCCC)C,"4-(dimethylamino)-N',N'-di((9Z,12Z)-octadeca-9,12-dien-1-yl)butanehydrazide",HIGH,OK
"32,53,62","Image, Text",Target_Compound,Example 11,,NC(C(=O)NN(CCCCCCCC\C=C/C\C=C/CCCCC)CCCCCCCC\C=C/C\C=C/CCCCC)CCCCN(C)C,"(S)-2-amino-6-(dimethylamino)-N',N'-di((9Z,12Z)-octadeca-9,12-dien-1-yl)hexanehydrazide",HIGH,OK
32,"Image, Text",Target_Compound,Example 13,,N[C@@H](CCCNC(=N)N)C(=O)NN(CCCCCCCC\C=C/C\C=C/CCCCC)CCCCCCCC\C=C/C\C=C/CCCCC,"1-((S)-4-amino-5-(2,2-di((9Z,12Z)-octadeca-9,12-dien-1-yl)hydrazinyl)-5-oxopentyl)guanidine",HIGH,OK
33,"Image, Text",Target_Compound,Example 16,,CN(CCCC(=O)N(OCCCCCCCC\C=C/C\C=C/CCCCC)CCCCCCCC\C=C/C\C=C/CCCCC)C,"4-(dimethylamino)-N-((9Z,12Z)-octadeca-9,12-dien-1-yl)-N-(((9Z,12Z)-octadeca-9,12-dien-1-yl)oxy)butanamide",HIGH,OK
"33,40","Image, Text",Target_Compound,Example 17,,C(CCCCCCC\C=C/C\C=C/CCCCC)N(NC(CCCN1CCCC1)=O)CCCCCCCC\C=C/C\C=C/CCCCC,"N',N'-di((9Z,12Z)-octadeca-9,12-dien-1-yl)-4-(pyrrolidin-1-yl)butanehydrazide",HIGH,OK
33,"Image, Text",Target_Compound,Example 18,,NC(C(=O)NN(CCCCCCCC\C=C/C\C=C/CCCCC)CCCCCCCC\C=C/C\C=C/CCCCC)CC=1N=CNC1,"(S)-2-amino-3-(1H-imidazol-4-yl)-N',N'-di((9Z,12Z)-octadeca-9,12-dien-1-yl)propanehydrazide",HIGH,OK
33,"Image, Text",Target_Compound,Example 21,,CN1CCN(CC1)CCCC(=O)NN(CCCCCCCC\C=C/C\C=C/CCCCC)CCCCCCCC\C=C/C\C=C/CCCCC,"4-(4-methylpiperazin-1-yl)-N',N'-di((9Z,12Z)-octadeca-9,12-dien-1-yl)butanehydrazide",HIGH,OK
