Source_Page,Extraction_Source,Compound_Type,Example_ID,Chemical_Name,SMILES,IUPAC_EN,Confidence_Level,Data_Quality_Flag
11,Text,Target_Compound,Compound (507),,CCCCC\C=C/C\C=C/CCCCCCCCC(CCCCCCCC\C=C/C\C=C/CCCCC)C(C(=O)[O-])CCN(C)C,"((6Z,9Z,28Z,31Z)-heptatriaconta-6,9,28,31-tetraen-19-yl 4-(dimethylamino)butanoate)",HIGH,OK
"11,53,72,86,283","Image, Text",Target_Compound,Example 513,,CN(CCCCC(=O)OC(CCC\C=C/CCCCC)C(CCC\C=C/CCCCC)CCC\C=C/CCCCC)C,"(6Z,16Z)-12-((Z)-dec-4-enyl)docosa-6,16-dien-11-yl 5-(dimethylamino)pentanoate",HIGH,OK
11,Text,Target_Compound,Compound (515),gamma-DLenDMA,C(CCCC\C=C/C\C=C/C\C=C/CCCCC)OC(C(C)OCCCCC\C=C/C\C=C/C\C=C/CCCCC)N(C)C,"1,2-di-gamma-linolenyloxy-N,N-dimethylaminopropane",HIGH,OK
"11,46,72,283",Text,Target_Compound,DLinDMA,,C(CCCCCCC\C=C/C\C=C/CCCCC)OC(C(C)OCCCCCCCC\C=C/C\C=C/CCCCC)N(C)C,"1,2-dilinoleyloxy-N,N-dimethylaminopropane",HIGH,OK
15,Image,Target_Compound,AT-61,,ClC=1C=C(C=C(C1)Cl)NC(CN1C(=NC2=CC=CC=C2C1=O)C1=CC=CC=C1)=O,"N-(3,5-dichlorophenyl)-2-(4-oxo-2-phenylquinazolin-3(4H)-yl)acetamide",HIGH,OK
15,Image,Target_Compound,Bay-41-4109,,ClC1=C(C=CC(=C1)F)C1N=C(NC(=C1C(=O)OC)C)C1=NC=CC=C1,"Methyl 4-(2-chloro-4-fluorophenyl)-6-methyl-2-(pyridin-2-yl)-1,4-dihydropyrimidine-5-carboxylate",HIGH,OK
16,Image,Target_Compound,PBHBV-001,,ClC1=C(C=CC(=C1)F)NC(=O)C=1C(N=C(NC1C)C=1SC=CN1)C1=C(C=C(C=C1)F)Cl,"N-(2-chloro-4-fluorophenyl)-4-(2-chloro-4-fluorophenyl)-6-methyl-2-(thiazol-2-yl)-1,4-dihydropyrimidine-5-carboxamide",HIGH,OK
16,Image,Target_Compound,PBHBV-2-15,,ClC1=C(C=CC(=C1)F)NC(=O)C=1C(N=C(NC1C)C=1SC=CN1)C1=C(C=C(C=C1)F)F,"N-(2-chloro-4-fluorophenyl)-4-(2,4-difluorophenyl)-6-methyl-2-(thiazol-2-yl)-1,4-dihydropyrimidine-5-carboxamide",HIGH,OK
23,Text,Target_Compound,RT Inhibitor,,NC1=C2N=CN(C2=NC=N1)[C@H]1[C@H]([C@@H]([C@H](C1=C)CO)O)F,"(1R,2R,3R,5R)-3-(6-amino-9H-9-purinyl)-2-fluoro-5-(hydroxymethyl)-4-methylenecyclopentan-1-ol",HIGH,OK
23,Text,Target_Compound,RT Inhibitor,,NC1=C2N=CN(C2=NC=N1)[C@@H]1C([C@H]([C@H]([C@@H]1F)O)C[C@](N=P(=O)OC1=CC=CC=C1)(C(=O)OC)OC)=C,"methyl ((((1R,3R,4R,5R)-3-(6-amino-9H-purin-9-yl)-4-fluoro-5-hydroxy-2-methylenecyclopentyl)methoxy)(phenoxy)phosphoryl)-(D or L)-alaninate",MEDIUM,Check_Stereo_Ambiguity
