DOI,paper_doi,paper_title_x,count_atlas,Publication_PMID,Publication_link,count_lnpdb,lnp_id,ionizable_lipid,peg_lipid,sterol_lipid,helper_lipid,lipid_molar_ratio,particle_size_nm_std,pdi_std,zeta_potential_mv_std,encapsulation_efficiency_percent_std,loading_capacity_std,target_type,nucleic_acid_sequence,peg_lipid_original,ionizable_lipid_original,helper_lipid_original,sterol_lipid_original,ionizable_lipid_smiles,peg_lipid_smiles,sterol_lipid_smiles,helper_lipid_smiles,synthesis_info,bioactivity_profile,paper_title_y,paper_authors,paper_journal,paper_year
10.1038/s41563-020-00886-0,https://doi.org/10.1038/s41563-020-00886-0,Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,23,33542471.0,https://www.nature.com/articles/s41563-020-00886-0,572,665,9A1P9,DMG-PEG2000,cholesterol,MDOA,25:1:30:30,~150,~0.2,~-5,,"OTHER:iPhos:mRNA molar ratio 11622:1, weight ratio ~18:1",mRNA,firefly_luciferase,DMG-PEG2000,9A1P9,MDOA,cholesterol,CCCCCCCCCOP(=O)(O)OCCN(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,"synthesis_method: Ethanol dilution; device_used: Manual pipette mixing; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citric acid/sodium citrate buffer, pH 4.4; organic_phase_composition: Ethanol with lipid mixture; mixing_time_sec: Rapid mixing by pipette, 15 min incubation; temperature_condition: ; post_processing: Diluted 3-fold with 1× PBS buffer; sterilization: ; storage_buffer: 1× PBS buffer","cell_line: IGROV1; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.1-0.25 mg/kg mRNA; gene_expression_result: High luciferase expression in liver; biodistribution_result: Liver-selective delivery; toxicity_profile: Negligible cytotoxicity, well tolerated",Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,"['Shuai Liu', 'Qiang Cheng', 'Tuo Wei', 'Xueliang Yu', 'Lindsay T. Johnson', 'Lukas Farbiak', 'Daniel J. Siegwart']",Nature Materials,2021.0
10.1038/s41563-020-00886-0,https://doi.org/10.1038/s41563-020-00886-0,Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,23,33542471.0,https://www.nature.com/articles/s41563-020-00886-0,572,666,9A1P9,DMG-PEG2000,cholesterol,5A2-SC8,25:1:30:30,~150,~0.2,~-5,,WR:18(wt/wt)[9A1P9:mRNA],mRNA,firefly_luciferase,DMG-PEG2000,9A1P9,5A2-SC8,cholesterol,CCCCCCCCCOP(=O)(O)OCCN(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,"synthesis_method: Ethanol dilution; device_used: Manual pipette mixing; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citric acid/sodium citrate buffer, pH 4.4; organic_phase_composition: Ethanol with lipid mixture; mixing_time_sec: Rapid mixing by pipette, 15 min incubation; temperature_condition: ; post_processing: Dialyzed against 1× PBS in Pur-A-Lyzer midi dialysis chambers; sterilization: ; storage_buffer: 1× PBS buffer","cell_line: IGROV1; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.05-0.25 mg/kg mRNA; gene_expression_result: ~10^8 photons/s/cm²/sr in liver; biodistribution_result: Liver-selective delivery; toxicity_profile: Well tolerated, no significant liver/kidney function changes",Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,"['Shuai Liu', 'Qiang Cheng', 'Tuo Wei', 'Xueliang Yu', 'Lindsay T. Johnson', 'Lukas Farbiak', 'Daniel J. Siegwart']",Nature Materials,2021.0
10.1038/s41563-020-00886-0,https://doi.org/10.1038/s41563-020-00886-0,Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,23,33542471.0,https://www.nature.com/articles/s41563-020-00886-0,572,667,9A1P9,DMG-PEG2000,cholesterol,DDAB,60:0.4:30:40,~150,~0.2,~-5,,WR:18(wt/wt)[9A1P9:mRNA],mRNA,firefly_luciferase,DMG-PEG2000,9A1P9,DDAB,cholesterol,CCCCCCCCCOP(=O)(O)OCCN(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],"synthesis_method: Ethanol dilution; device_used: Manual pipette mixing; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citric acid/sodium citrate buffer, pH 4.4; organic_phase_composition: Ethanol with lipid mixture; mixing_time_sec: Rapid mixing by pipette, 15 min incubation; temperature_condition: ; post_processing: Dialyzed against 1× PBS in Pur-A-Lyzer midi dialysis chambers; sterilization: ; storage_buffer: 1× PBS buffer","cell_line: IGROV1; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.25 mg/kg mRNA; gene_expression_result: ~10^8 photons/s/cm²/sr in lung; biodistribution_result: Lung-selective delivery; toxicity_profile: Well tolerated, no obvious tissue injury",Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,"['Shuai Liu', 'Qiang Cheng', 'Tuo Wei', 'Xueliang Yu', 'Lindsay T. Johnson', 'Lukas Farbiak', 'Daniel J. Siegwart']",Nature Materials,2021.0
10.1038/s41563-020-00886-0,https://doi.org/10.1038/s41563-020-00886-0,Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,23,33542471.0,https://www.nature.com/articles/s41563-020-00886-0,572,668,Custom lipid,DMG-PEG2000,cholesterol,MDOA,25:1:30:30,~200,,~-5 to -10,,WR:11.5(wt/wt)[10A1P16:mRNA],mRNA,firefly_luciferase,DMG-PEG2000,10A1P16,MDOA,cholesterol,CCCCCCCCC[N+](CCCC)(CCO[P-](=O)OCCCCCCCCCCCCCCCC)CCO[P-](=O)OCCCCCCCCCCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,"synthesis_method: Ethanol dilution; device_used: Manual pipette mixing; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citric acid/sodium citrate buffer, pH 4.4; organic_phase_composition: Ethanol with lipid mixture; mixing_time_sec: Rapid mixing by pipette, 15 min incubation; temperature_condition: ; post_processing: Dialyzed against 1× PBS in Pur-A-Lyzer midi dialysis chambers; sterilization: ; storage_buffer: 1× PBS buffer","cell_line: IGROV1; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.25 mg/kg mRNA; gene_expression_result: High luciferase expression in spleen; biodistribution_result: Spleen-selective delivery; toxicity_profile: Well tolerated, no significant toxicity",Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,"['Shuai Liu', 'Qiang Cheng', 'Tuo Wei', 'Xueliang Yu', 'Lindsay T. Johnson', 'Lukas Farbiak', 'Daniel J. Siegwart']",Nature Materials,2021.0
10.1038/s41563-020-00886-0,https://doi.org/10.1038/s41563-020-00886-0,Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,23,33542471.0,https://www.nature.com/articles/s41563-020-00886-0,572,669,9A1P9,DMG-PEG2000,cholesterol,DOPE,55:0.2:45:30,~150,~0.2,~-5,,WR:18(wt/wt)[9A1P9:mRNA],mRNA,firefly_luciferase,DMG-PEG2000,9A1P9,DOPE,cholesterol,CCCCCCCCCOP(=O)(O)OCCN(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCC/C=C\CCCCCCCC,"synthesis_method: Ethanol dilution; device_used: Manual pipette mixing; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citric acid/sodium citrate buffer, pH 4.4; organic_phase_composition: Ethanol with lipid mixture; mixing_time_sec: Rapid mixing by pipette, 15 min incubation; temperature_condition: ; post_processing: Dialyzed against 1× PBS in Pur-A-Lyzer midi dialysis chambers; sterilization: ; storage_buffer: 1× PBS buffer",cell_line: IGROV1; animal_model: C57BL/6 mice; administration_route: IV; dose: 0.25 mg/kg mRNA; gene_expression_result: Moderate luciferase expression in spleen; biodistribution_result: Spleen-selective delivery; toxicity_profile: Well tolerated,Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,"['Shuai Liu', 'Qiang Cheng', 'Tuo Wei', 'Xueliang Yu', 'Lindsay T. Johnson', 'Lukas Farbiak', 'Daniel J. Siegwart']",Nature Materials,2021.0
10.1038/s41563-020-00886-0,https://doi.org/10.1038/s41563-020-00886-0,Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,23,33542471.0,https://www.nature.com/articles/s41563-020-00886-0,572,670,9A1P9,DMG-PEG2000,cholesterol,5A2-SC8,25:1:30:30,~150,~0.2,~-5,,WR:18(wt/wt)[9A1P9:RNA],mRNA,cas9,DMG-PEG2000,9A1P9,5A2-SC8,cholesterol,CCCCCCCCCOP(=O)(O)OCCN(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,"synthesis_method: Ethanol dilution; device_used: Manual pipette mixing; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citric acid/sodium citrate buffer, pH 3.2; organic_phase_composition: Ethanol with lipid mixture; mixing_time_sec: Rapid mixing by pipette, 15 min incubation; temperature_condition: ; post_processing: Dialyzed against 1× PBS in Pur-A-Lyzer midi dialysis chambers; sterilization: ; storage_buffer: 1× PBS buffer",animal_model: Ai9 mice (Cre-reporter mice); administration_route: IV; dose: 0.75 mg/kg total RNA; gene_expression_result: ~91% tdTomato editing in hepatocytes; biodistribution_result: Liver-selective gene editing; toxicity_profile: Well tolerated,Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,"['Shuai Liu', 'Qiang Cheng', 'Tuo Wei', 'Xueliang Yu', 'Lindsay T. Johnson', 'Lukas Farbiak', 'Daniel J. Siegwart']",Nature Materials,2021.0
10.1038/s41563-020-00886-0,https://doi.org/10.1038/s41563-020-00886-0,Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,23,33542471.0,https://www.nature.com/articles/s41563-020-00886-0,572,671,9A1P9,DMG-PEG2000,cholesterol,DDAB,60:0.4:40:30,~150,~0.2,~-5,,WR:18(wt/wt)[9A1P9:RNA],mRNA,cas9,DMG-PEG2000,9A1P9,DDAB,cholesterol,CCCCCCCCCOP(=O)(O)OCCN(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],"synthesis_method: Ethanol dilution; device_used: Manual pipette mixing; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citric acid/sodium citrate buffer, pH 3.2; organic_phase_composition: Ethanol with lipid mixture; mixing_time_sec: Rapid mixing by pipette, 15 min incubation; temperature_condition: ; post_processing: Dialyzed against 1× PBS in Pur-A-Lyzer midi dialysis chambers; sterilization: ; storage_buffer: 1× PBS buffer","animal_model: Ai9 mice (Cre-reporter mice); administration_route: IV; dose: 0.75 mg/kg total RNA; gene_expression_result: ~34% endothelial cells, ~20% epithelial cells, ~13% immune cells edited; biodistribution_result: Lung-selective gene editing; toxicity_profile: Well tolerated",Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,"['Shuai Liu', 'Qiang Cheng', 'Tuo Wei', 'Xueliang Yu', 'Lindsay T. Johnson', 'Lukas Farbiak', 'Daniel J. Siegwart']",Nature Materials,2021.0
10.1038/s41563-020-00886-0,https://doi.org/10.1038/s41563-020-00886-0,Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,23,33542471.0,https://www.nature.com/articles/s41563-020-00886-0,572,672,9A1P9,DMG-PEG2000,cholesterol,5A2-SC8,25:1:30:30,~150,~0.2,~-5,,WR:18(wt/wt)[9A1P9:RNA],mRNA,cas9,DMG-PEG2000,9A1P9,5A2-SC8,cholesterol,CCCCCCCCCOP(=O)(O)OCCN(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,"synthesis_method: Ethanol dilution; device_used: Manual pipette mixing; total_flow_rate_ml_min: ; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citric acid/sodium citrate buffer, pH 3.2; organic_phase_composition: Ethanol with lipid mixture; mixing_time_sec: Rapid mixing by pipette, 15 min incubation; temperature_condition: ; post_processing: Dialyzed against 1× PBS in Pur-A-Lyzer midi dialysis chambers; sterilization: ; storage_buffer: 1× PBS buffer",animal_model: C57BL/6 mice; administration_route: IV; dose: 0.75 mg/kg total RNA; gene_expression_result: Efficient PTEN gene editing in liver (T7E1 assay); biodistribution_result: Liver-selective gene editing; toxicity_profile: Well tolerated,Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,"['Shuai Liu', 'Qiang Cheng', 'Tuo Wei', 'Xueliang Yu', 'Lindsay T. Johnson', 'Lukas Farbiak', 'Daniel J. Siegwart']",Nature Materials,2021.0
10.1038/s41563-020-00886-0,https://doi.org/10.1038/s41563-020-00886-0,Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,23,33542471.0,https://www.nature.com/articles/s41563-020-00886-0,572,673,9A1P9,DMG-PEG2000,cholesterol,5A2-SC8,25:1:30:30,77.2,,,,WR:18(wt/wt)[9A1P9:mRNA],mRNA,firefly_luciferase,DMG-PEG2000,9A1P9,5A2-SC8,cholesterol,CCCCCCCCCOP(=O)(O)OCCN(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,,"synthesis_method: Microfluidic mixing; device_used: NanoAssemblr microfluidic mixing system; total_flow_rate_ml_min: 9; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citric acid/sodium citrate buffer, pH 3.2; organic_phase_composition: Ethanol with lipid mixture; mixing_time_sec: N/A (continuous flow); temperature_condition: ; post_processing: Dialyzed against 1× PBS, 0.3 mL waste collection at start, 0.1 mL at end; sterilization: ; storage_buffer: 1× PBS buffer",animal_model: C57BL/6 mice; administration_route: IV; dose: 0.05-0.25 mg/kg mRNA; gene_expression_result: High efficacy and organ selectivity retained; biodistribution_result: Liver-selective delivery maintained; toxicity_profile: Well tolerated,Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,"['Shuai Liu', 'Qiang Cheng', 'Tuo Wei', 'Xueliang Yu', 'Lindsay T. Johnson', 'Lukas Farbiak', 'Daniel J. Siegwart']",Nature Materials,2021.0
10.1038/s41563-020-00886-0,https://doi.org/10.1038/s41563-020-00886-0,Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,23,33542471.0,https://www.nature.com/articles/s41563-020-00886-0,572,674,9A1P9,DMG-PEG2000,cholesterol,DDAB,60:0.4:40:30,108.1,,,,WR:18(wt/wt)[9A1P9:mRNA],mRNA,firefly_luciferase,DMG-PEG2000,9A1P9,DDAB,cholesterol,CCCCCCCCCOP(=O)(O)OCCN(CCCCCCCC)CCCCCCCC,CCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)OC(=O)CCCCCCCCCCCCC,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Br-],"synthesis_method: Microfluidic mixing; device_used: NanoAssemblr microfluidic mixing system; total_flow_rate_ml_min: 9; flow_rate_ratio: 3:1 (aqueous:ethanol); aqueous_phase_composition: 10 mM citric acid/sodium citrate buffer, pH 3.2; organic_phase_composition: Ethanol with lipid mixture; mixing_time_sec: N/A (continuous flow); temperature_condition: ; post_processing: Dialyzed against 1× PBS, 0.3 mL waste collection at start, 0.1 mL at end; sterilization: ; storage_buffer: 1× PBS buffer",animal_model: C57BL/6 mice; administration_route: IV; dose: 0.25 mg/kg mRNA; gene_expression_result: High efficacy and organ selectivity retained; biodistribution_result: Lung-selective delivery maintained; toxicity_profile: Well tolerated,Membrane-destabilizing ionizable phospholipids for organ-selective mRNA delivery and CRISPR?Cas gene editing,"['Shuai Liu', 'Qiang Cheng', 'Tuo Wei', 'Xueliang Yu', 'Lindsay T. Johnson', 'Lukas Farbiak', 'Daniel J. Siegwart']",Nature Materials,2021.0
