Source_Page,Extraction_Source,Compound_Type,Example_ID,Chemical_Name,SMILES,IUPAC_EN,Confidence_Level,Data_Quality_Flag
3,Text,Target_Compound,,DLinDMA,C(CCCCCCC\C=C/C\C=C/CCCCC)OC(C(C)OCCCCCCCC\C=C/C\C=C/CCCCC)N(C)C,"1,2-dilinoleyloxy-N,N-dimethylaminopropane",HIGH,OK
"3,37",Text,Target_Compound,Compound (7),,CN(CCCC(=O)OC(CCCCCCCC\C=C/C\C=C/CCCCC)CCCCCCCC\C=C/C\C=C/CCCCC)C,"(6Z,9Z,28Z,31Z)-heptatriaconta-6,9,28,31-tetraen-19-yl 4-(dimethylamino)butanoate",HIGH,OK
"3,37",Text,Target_Compound,Compound (13),,CN(CCCCC(=O)OC(CCC\C=C/CCCCC)C(CCC\C=C/CCCCC)CCC\C=C/CCCCC)C,"(6Z,16Z)-12-((Z)-dec-4-enyl)docosa-6,16-dien-11-yl 5-(dimethylamino)pentanoate",HIGH,OK
3,Text,Target_Compound,Compound (15),y-DLenDMA,C(CCCC\C=C/C\C=C/C\C=C/CCCCC)OC(C(C)OCCCCC\C=C/C\C=C/C\C=C/CCCCC)N(C)C,"1,2-di-gamma-linolenyloxy-N,N-dimethylaminopropane",HIGH,OK
9,Text,Target_Compound,,DLin-K-C2-DMA,C(CCCCCCC\C=C/C\C=C/CCCCC)C1(OCC(O1)CCN(C)C)CCCCCCCC\C=C/C\C=C/CCCCC,"2,2-dilinoleyl-4-(2-dimethylaminoethyl)-[1,3]-dioxolane",HIGH,OK
9,Text,Target_Compound,,DLin-K-DMA,C(CCCCCCC\C=C/C\C=C/CCCCC)C1(OCC(O1)CN(C)C)CCCCCCCC\C=C/C\C=C/CCCCC,"2,2-dilinoleyl-4-dimethylaminomethyl-[1,3]-dioxolane",HIGH,OK
9,Text,Target_Compound,,DLin-M-C2-DMA,C(CCCCCCC\C=C/C\C=C/CCCCC)C(C(C(=O)[O-])C)(N(C)C)CCCCCCCC\C=C/C\C=C/CCCCC,dilinoleylmethyl-3-dimethylaminopropionate,HIGH,OK
22,Text,Target_Compound,,DLin-K-C3-DMA,C(CCCCCCC\C=C/C\C=C/CCCCC)C1(OCC(O1)CCCN(C)C)CCCCCCCC\C=C/C\C=C/CCCCC,"2,2-dilinoleyl-4-(3-dimethylaminopropyl)-[1,3]-dioxolane",HIGH,OK
22,Text,Target_Compound,,DLin-K-C4-DMA,C(CCCCCCC\C=C/C\C=C/CCCCC)C1(OCC(O1)CCCCN(C)C)CCCCCCCC\C=C/C\C=C/CCCCC,"2,2-dilinoleyl-4-(4-dimethylaminobutyl)-[1,3]-dioxolane",HIGH,OK
22,Text,Target_Compound,,DLin-K6-DMA,C(CCCCCCC\C=C/C\C=C/CCCCC)C1(OCC(CO1)CN(C)C)CCCCCCCC\C=C/C\C=C/CCCCC,"2,2-dilinoleyl-5-dimethylaminomethyl-[1,3]-dioxane",HIGH,OK
22,Text,Target_Compound,,DLin-K-MPZ,C(CCCCCCC\C=C/C\C=C/CCCCC)C1(N(CCN(C1)C)C1OCCO1)CCCCCCCC\C=C/C\C=C/CCCCC,"2,2-dilinoleyl-4-N-methylpiperazino-[1,3]-dioxolane",MEDIUM,Check_Stereo_Ambiguity
22,Text,Target_Compound,,DO-K-DMA,C(CCCCCCC\C=C/CCCCCCCC)(=O)C1(OCC(O1)CN(C)C)C(CCCCCCC\C=C/CCCCCCCC)=O,"2,2-dioleoyl-4-dimethylaminomethyl-[1,3]-dioxolane",HIGH,OK
22,Text,Target_Compound,,DS-K-DMA,C(CCCCCCCCCCCCCCCCC)(=O)C1(OCC(O1)CN(C)C)C(CCCCCCCCCCCCCCCCC)=O,"2,2-distearoyl-4-dimethylaminomethyl-[1,3]-dioxolane",HIGH,OK
