Source_Page,Extraction_Source,Compound_Type,Example_ID,Chemical_Name,SMILES,IUPAC_EN,Confidence_Level,Data_Quality_Flag
4,Text,Target_Compound,-,,C(CCCCCCCCCCCCCCC)OC[C@@H](OCCCCCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,"1,2-di-O-hexadecyl-sn-glycero-3-phosphocholine",HIGH,OK
9,Text,Target_Compound,DMPC,,C(CCCCCCCCCCCCC)(=O)OC[C@@H](OC(CCCCCCCCCCCCC)=O)COP(=O)([O-])OCC[N+](C)(C)C,dimyristoyl phosphatidylcholine,HIGH,OK
9,Text,Target_Compound,DOPC,,C(CCCCCCCC=CCCCCCCCC)(=O)OC[C@@H](OC(CCCCCCCC=CCCCCCCCC)=O)COP(=O)([O-])OCC[N+](C)(C)C,dioleoyl phosphatidylcholine,HIGH,OK
9,Text,Target_Compound,DPPC,,C(CCCCCCCCCCCCCCC)(=O)OC[C@@H](OC(CCCCCCCCCCCCCCC)=O)COP(=O)([O-])OCC[N+](C)(C)C,"1,2-dipalmitoyl-sn-glycero-3-phosphocholine",HIGH,OK
9,Text,Target_Compound,DSPC,,C(CCCCCCCCCCCCCCCCC)(=O)OC[C@@H](OC(CCCCCCCCCCCCCCCCC)=O)COP(=O)([O-])OCC[N+](C)(C)C,"1,2-distearoyl-sn-glycero-3-phosphocholine",HIGH,OK
9,Text,Target_Compound,POPC,,C(CCCCCCC\C=C/CCCCCCCC)(=O)OC[C@@H](OC(CCCCCCCCCCCCCCC)=O)COP(=O)([O-])OCC[N+](C)(C)C,palmitoyl oleoyl phosphatidylcholine,HIGH,OK
11,Image,Target_Compound,D-DPPC,,P(=O)(OC[C@H](COC(CCCCCCCCCCCCCCC)=O)OC(CCCCCCCCCCCCCCC)=O)(OCC[N+](C)(C)C)[O-],"(2S)-2,3-bis(hexadecanoyloxy)propyl 2-(trimethylammonio)ethyl phosphate",HIGH,OK
11,Image,Target_Compound,D-DSPC,,P(=O)(OC[C@H](COC(CCCCCCCCCCCCCCCCC)=O)OC(CCCCCCCCCCCCCCCCC)=O)(OCC[N+](C)(C)C)[O-],"(2S)-2,3-bis(octadecanoyloxy)propyl 2-(trimethylammonio)ethyl phosphate",HIGH,OK
11,Image,Target_Compound,Diether-PC,,P(=O)(OCC(COCCCCCCCCCCCCCCCC)OCCCCCCCCCCCCCCCC)(OCC[N+](C)(C)C)[O-],"2,3-bis(hexadecyloxy)propyl 2-(trimethylammonio)ethyl phosphate",HIGH,OK
11,Text,Target_Compound,X3,,C(C1=CC=CC=C1)OCC(CO)O,"(S)-3-(benzyloxy)propane-1,2-diol",HIGH,OK
36,Image,Target_Compound,CL-3,CL-23,CN1C[C@H]([C@H](C1)OCCCCCCCC\C=C/C\C=C/CCCCC)OCCCCCCCC\C=C/C\C=C/CCCCC,"(3R,4S)-1-methyl-3,4-bis((9Z,12Z)-octadeca-9,12-dien-1-yloxy)pyrrolidine",HIGH,OK
36,Image,Target_Compound,CL-4,CL-33,C(CCCCCCC\C=C/C\C=C/CCCCC)(=O)O[C@@H]1CN(C[C@@H]1OC(CCCCCCC\C=C/C\C=C/CCCCC)=O)C,"(3R,4S)-1-methylpyrrolidine-3,4-diyl bis((9Z,12Z)-octadeca-9,12-dienoate)",HIGH,OK
36,Image,Target_Compound,CL-5,CL-51,C(CCCCCCC\C=C/C\C=C/CCCCC)(=O)OCCN(CCOC(CCCCCCC\C=C/C\C=C/CCCCC)=O)C,"((methylazanediyl)bis(ethane-2,1-diyl)) bis((9Z,12Z)-octadeca-9,12-dienoate)",HIGH,OK
36,Image,Target_Compound,CL-6,,C(CCCCCCC\C=C/C\C=C/CCCCC)N(CCO)CCCCCCCC\C=C/C\C=C/CCCCC,"2-(bis((9Z,12Z)-octadeca-9,12-dien-1-yl)amino)ethan-1-ol",HIGH,OK
37,Image,Target_Compound,CL-8,,CN1CCC(CC1)(CCCCCCCC\C=C/C\C=C/CCCCC)CCCCCCCC\C=C/C\C=C/CCCCC,"1-methyl-4,4-bis((9Z,12Z)-octadeca-9,12-dien-1-yl)piperidine",HIGH,OK
37,Image,Target_Compound,CL-12,,CN1C[C@H]([C@@H](C1)OCCCCCCCC\C=C/C\C=C/CCCCC)OCCCCCCCC\C=C/C\C=C/CCCCC,"(3R,4R)-1-methyl-3,4-bis((9Z,12Z)-octadeca-9,12-dien-1-yloxy)pyrrolidine",HIGH,OK
37,Image,Target_Compound,CL-13,CL-26,CN(CC(=O)N(CCCCCCCC\C=C/C\C=C/CCCCC)CCCCCCCC\C=C/C\C=C/CCCCC)C,"2-(dimethylamino)-N,N-bis((9Z,12Z)-octadeca-9,12-dien-1-yl)acetamide",HIGH,OK
37,Image,Target_Compound,CL-14,,C(CCCCCCC\C=C/C\C=C/CCCCC)(=O)OCC(CCN(C)C)OC(CCCCCCC\C=C/C\C=C/CCCCC)=O,"4-(dimethylamino)butane-1,2-diyl bis((9Z,12Z)-octadeca-9,12-dienoate)",HIGH,OK
38,Image,Target_Compound,CL-19,,C(OC1CCN(CC1)C)(OC(CCCCCCCCC=CCC=CCCCCC)CCCCCCCCC=CCC=CCCCCC)=O,"1-methylpiperidin-4-yl (heptatriaconta-6,9,28,31-tetraen-19-yl) carbonate",HIGH,OK
38,Image,Target_Compound,CL-21,,NC(C(=O)NCCN(CCOCCCCCCCC\C=C/C\C=C/CCCCC)CCOCCCCCCCC\C=C/C\C=C/CCCCC)CO,"2-amino-N-(2-(bis(2-((9Z,12Z)-octadeca-9,12-dien-1-yloxy)ethyl)amino)ethyl)-3-hydroxypropanamide",HIGH,OK
38,Image,Target_Compound,CL-22,,C(CCCCCCC\C=C/C\C=C/CCCCC)O[C@@H]1CNC[C@@H]1OCCCCCCCC\C=C/C\C=C/CCCCC,"(3R,4S)-3,4-bis((9Z,12Z)-octadeca-9,12-dien-1-yloxy)pyrrolidine",HIGH,OK
38,Image,Target_Compound,CL-23,CL-3,CN1C[C@H]([C@H](C1)OCCCCCCCC\C=C/C\C=C/CCCCC)OCCCCCCCC\C=C/C\C=C/CCCCC,"(3R,4S)-1-methyl-3,4-bis((9Z,12Z)-octadeca-9,12-dien-1-yloxy)pyrrolidine",HIGH,OK
38,Image,Target_Compound,CL-24,,C(CCCCCCC\C=C/C\C=C/CCCCC)OCC(COCCCCCCCC\C=C/C\C=C/CCCCC)OCC1CNCC1,"3-((1,3-bis((9Z,12Z)-octadeca-9,12-dien-1-yloxy)propan-2-yloxy)methyl)pyrrolidine",HIGH,OK
38,Image,Target_Compound,CL-25,,CCCCCC=CCC=CCCCCCCCCC(CCCCCCCCC=CCC=CCCCCC)OCC1CN(CC1)C,"3-((heptatriaconta-6,9,28,31-tetraen-19-yloxy)methyl)-1-methylpyrrolidine",HIGH,OK
38,Image,Target_Compound,CL-26,CL-13,CN(CC(=O)N(CCCCCCCC\C=C/C\C=C/CCCCC)CCCCCCCC\C=C/C\C=C/CCCCC)C,"2-(dimethylamino)-N,N-bis((9Z,12Z)-octadeca-9,12-dien-1-yl)acetamide",HIGH,OK
38,Image,Target_Compound,CL-27,,C(CCCCCCC\C=C/C\C=C/CCCCC)N(C(OCCN(C)C)=O)CCCCCCCC\C=C/C\C=C/CCCCC,"2-(dimethylamino)ethyl bis((9Z,12Z)-octadeca-9,12-dien-1-yl)carbamate",HIGH,OK
39,Image,Target_Compound,CL-28,,C(CCCCCCC\C=C/C\C=C/CCCCC)N(CCO)CCCCCCCC\C=C/C\C=C/CCCCC,"2-(bis((9Z,12Z)-octadeca-9,12-dien-1-yl)amino)ethan-1-ol",HIGH,OK
39,Image,Target_Compound,CL-29,,CCCCCC=CCC=CCCCCCCCCC(CCCCCCCCC=CCC=CCCCCC)OCC(CO)(CO)N(C)C,"2-((heptatriaconta-6,9,28,31-tetraen-19-yloxy)methyl)-2-(dimethylamino)propane-1,3-diol",HIGH,OK
39,Image,Target_Compound,CL-31,,CCCCCC=CCC=CCCCCCCCCC(CCCCCCCCC=CCC=CCCCCC)OCCN(C)C,"2-(dimethylamino)ethyl heptatriaconta-6,9,28,31-tetraen-19-yl ether",HIGH,OK
39,Image,Target_Compound,CL-33,CL-4,C(CCCCCCC\C=C/C\C=C/CCCCC)(=O)O[C@@H]1CN(C[C@@H]1OC(CCCCCCC\C=C/C\C=C/CCCCC)=O)C,"(3R,4S)-1-methylpyrrolidine-3,4-diyl bis((9Z,12Z)-octadeca-9,12-dienoate)",HIGH,OK
40,Image,Target_Compound,CL-46,,C(CCCCCCC\C=C/C\C=C/CCCCC)O[C@@H]1CN(C[C@@H]1OCCCCCCCC\C=C/C\C=C/CCCCC)C(CO)CO,"2-((3R,4S)-3,4-bis((9Z,12Z)-octadeca-9,12-dien-1-yloxy)pyrrolidin-1-yl)propane-1,3-diol",HIGH,OK
40,Image,Target_Compound,CL-48,,C(CCCCCCC\C=C/C\C=C/CCCCC)OCCN(C(CO)CO)CCOCCCCCCCC\C=C/C\C=C/CCCCC,"2-(bis(2-((9Z,12Z)-octadeca-9,12-dien-1-yloxy)ethyl)amino)propane-1,3-diol",HIGH,OK
