Source_Page,Extraction_Source,Compound_Type,Example_ID,Chemical_Name,SMILES,IUPAC_EN,Confidence_Level,Data_Quality_Flag
"67,116",Text,Target_Compound,DLin-KC2-DMA,,C(CCCCCCC\C=C/C\C=C/CCCCC)C1(OCC(O1)CCN(C)C)CCCCCCCC\C=C/C\C=C/CCCCC,"2,2-dilinoleyl-4-dimethylaminoethyl-[1,3]-dioxolane",HIGH,OK
"67,116",Text,Target_Compound,DLin-MC3-DMA,,C(CCCCCCC\C=C/C\C=C/CCCCC)C(C(C(=O)[O-])(C)CCCCCCCC\C=C/C\C=C/CCCCC)CN(C)C,dilinoleyl-methyl-4-dimethylaminobutyrate,HIGH,OK
"67,116",Text,Target_Compound,L319,,CN(CCCC(=O)OC(CCCCCCCC(=O)OC\C=C/CCCCCC)CCCCCCCC(=O)OC\C=C/CCCCCC)C,di((Z)-non-2-en-1-yl) 9-((4-(dimethylamino)butanoyl)oxy)heptadecanedioate,HIGH,OK
116,Text,Target_Compound,Compound 1,,NC(CO)(COCCCCCCCC\C=C/C\C=C/CCCCC)COCCCCCCCC\C=C/C\C=C/CCCCC,"2-amino-3-[(9Z,12Z)-octadeca-9,12-dien-1-yloxy]-2-{[(9Z,12Z)-octadeca-9,12-dien-1-yloxy]methyl}propan-1-ol",HIGH,OK
116,Text,Target_Compound,Compound 2,,NC(CO)(COCCCCCCCC\C=C/CCCCCCCC)COCCCCCCCC\C=C/CCCCCCCC,2-amino-3-[(9Z)-octadec-9-en-1-yloxy]-2-{[(9Z)-octadec-9-en-1-yloxy]methyl}propan-1-ol,HIGH,OK
116,Text,Target_Compound,Compound 3,,NC(CO)(COCCCCCCCC\C=C/C\C=C/CCCCC)COCCCCCCCC,"2-amino-3-[(9Z,12Z)-octadeca-9,12-dien-1-yloxy]-2-[(octyloxy)methyl]propan-1-ol",HIGH,OK
116,Text,Target_Compound,Compound 4,,CN(C(CO)(COCCCCCCCC\C=C/C\C=C/CCCCC)COCCCCCCCC\C=C/C\C=C/CCCCC)C,"2-(dimethylamino)-3-[(9Z,12Z)-octadeca-9,12-dien-1-yloxy]-2-{[(9Z,12Z)-octadeca-9,12-dien-1-yloxy]methyl}propan-1-ol",HIGH,OK
118,Text,Target_Compound,DLin-DMA,,C(CCCCCCC\C=C/C\C=C/CCCCC)OCC(CN(C)C)OCCCCCCCC\C=C/C\C=C/CCCCC,"1,2-dilinoleyloxy-3-dimethylaminopropane",HIGH,OK
118,Text,Target_Compound,DODMA,,C(CCCCCCC\C=C/CCCCCCCC)OC(C(C)OCCCCCCCC\C=C/CCCCCCCC)N(C)C,"1,2-dioleyloxy-N,N-dimethylaminopropane",HIGH,OK
118,Text,Target_Compound,DSDMA,,C(CCCCCCCCCCCCCCCCC)OC(C(C)OCCCCCCCCCCCCCCCCCC)N(C)C,"1,2-distearyloxy-N,N-dimethylaminopropane",HIGH,OK
133,Image,Target_Compound,Compound 1,,OCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"di(heptadecan-9-yl) 8,8'-((2-hydroxyethyl)azanediyl)dioctanoate",HIGH,OK
133,Image,Target_Compound,Compound 2,,OCCN(CCCCCCCCCC(=O)OC(CCCCCC)CCCCCCCC)CCCCCCCCCC(=O)OC(CCCCCC)CCCCCCCC,"di(pentadecan-7-yl) 10,10'-((2-hydroxyethyl)azanediyl)didecanoate",HIGH,OK
134,Image,Target_Compound,Compound 3,,OCCN(CCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"di(heptadecan-9-yl) 7,7'-((2-hydroxyethyl)azanediyl)diheptanoate",HIGH,OK
134,Image,Target_Compound,Compound 4,,OCCN(CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"di(heptadecan-9-yl) 6,6'-((2-hydroxyethyl)azanediyl)dihexanoate",HIGH,OK
134,Image,Target_Compound,Compound 5,,OCCN(CCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"di(heptadecan-9-yl) 5,5'-((2-hydroxyethyl)azanediyl)dipentanoate",HIGH,OK
134,Image,Target_Compound,Compound 7,,OCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"di(heptadecan-9-yl) 8,8'-((3-hydroxypropyl)azanediyl)dioctanoate",HIGH,OK
134,Image,Target_Compound,Compound 8,,N1(C=NC=C1)CCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"di(heptadecan-9-yl) 8,8'-((2-(1H-imidazol-1-yl)ethyl)azanediyl)dioctanoate",HIGH,OK
134,Image,Target_Compound,Compound 9,,C(C)(=O)OCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"di(heptadecan-9-yl) 8,8'-((2-acetoxyethyl)azanediyl)dioctanoate",HIGH,OK
134,Image,Target_Compound,Compound 10,,COC(CCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)=O,"di(heptadecan-9-yl) 8,8'-((3-methoxy-3-oxopropyl)azanediyl)dioctanoate",HIGH,OK
134,Image,Target_Compound,Compound 11,,OC(CN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)C,"di(heptadecan-9-yl) 8,8'-((2-hydroxypropyl)azanediyl)dioctanoate",HIGH,OK
135,Image,Target_Compound,Compound 12,,OC(CN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CO,"di(heptadecan-9-yl) 8,8'-((2,3-dihydroxypropyl)azanediyl)dioctanoate",HIGH,OK
135,Image,Target_Compound,Compound 13,,OCC(CC)N(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"di(heptadecan-9-yl) 8,8'-((1-hydroxybutan-2-yl)azanediyl)dioctanoate",HIGH,OK
135,Image,Target_Compound,Compound 14,,CN(CCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)C,"di(heptadecan-9-yl) 8,8'-((2-(dimethylamino)ethyl)azanediyl)dioctanoate",HIGH,OK
135,Image,Target_Compound,Compound 15,,COCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"di(heptadecan-9-yl) 8,8'-((2-methoxyethyl)azanediyl)dioctanoate",HIGH,OK
135,Image,Target_Compound,Compound 16,,COCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"di(heptadecan-9-yl) 8,8'-((3-methoxypropyl)azanediyl)dioctanoate",HIGH,OK
135,Image,Target_Compound,Compound 17,,CN(CCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)C,"di(heptadecan-9-yl) 8,8'-((3-(dimethylamino)propyl)azanediyl)dioctanoate",HIGH,OK
135,Image,Target_Compound,Compound 18,,OCCN(CCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCC)CCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCC,"di(heptadecan-7-yl) 8,8'-((2-hydroxyethyl)azanediyl)dioctanoate",HIGH,OK
136,Image,Target_Compound,Compound 19,,OCCCN(CCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCC)CCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCC,"di(heptadecan-7-yl) 8,8'-((3-hydroxypropyl)azanediyl)dioctanoate",HIGH,OK
136,Image,Target_Compound,Compound 20,,OCCCCN(CCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCC)CCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCC,"di(heptadecan-7-yl) 8,8'-((4-hydroxybutyl)azanediyl)dioctanoate",HIGH,OK
136,Image,Target_Compound,Compound 21,,C(#N)CCN(CCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCC)CCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCC,"di(heptadecan-7-yl) 8,8'-((2-cyanoethyl)azanediyl)dioctanoate",HIGH,OK
136,Image,Target_Compound,Compound 22,,OC1CCC(CC1)N(CCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCC)CCCCCCCC(=O)OC(CCCCCC)CCCCCCCCCC,"di(heptadecan-7-yl) 8,8'-((4-hydroxycyclohexyl)azanediyl)dioctanoate",HIGH,OK
136,Image,Target_Compound,Compound 23,,OCCN(CCCCCCCC(=O)OC(CCCCCCCCC)CCCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCCC)CCCCCCCCC,"di(nonadecan-10-yl) 8,8'-((2-hydroxyethyl)azanediyl)dioctanoate",HIGH,OK
136,Image,Target_Compound,Compound 25,Compound 33,OCCN(CCCCCCCC(=O)OC(CCCCCCC)CCCCCCCCC)CCCCCCCC(=O)OC(CCCCCCC)CCCCCCCCC,"di(heptadecan-8-yl) 8,8'-((2-hydroxyethyl)azanediyl)dioctanoate",HIGH,OK
137,Image,Target_Compound,Compound 26,,OCCN(CCCCCC(=O)OC(CCCCCC)CCCCCCCCCC)CCCCCC(=O)OC(CCCCCC)CCCCCCCCCC,"di(heptadecan-7-yl) 6,6'-((2-hydroxyethyl)azanediyl)dihexanoate",HIGH,OK
137,Image,Target_Compound,Compound 27,,OCCN(CCCC(=O)OC(CCCCCC)CCCCCCCCCC)CCCC(=O)OC(CCCCCC)CCCCCCCCCC,"di(heptadecan-7-yl) 4,4'-((2-hydroxyethyl)azanediyl)dibutyrate",HIGH,OK
137,Image,Target_Compound,Compound 29,,OCCN(CCCCCCCC(=O)OC(CCCCCC)CCCCCC)CCCCCCCC(=O)OC(CCCCCC)CCCCCC,"di(tridecan-7-yl) 8,8'-((2-hydroxyethyl)azanediyl)dioctanoate",HIGH,OK
137,Image,Target_Compound,Compound 30,,OCCN(CCCCCCCC(=O)OC(CCCCCCCCCC)CCCCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCCCC)CCCCCCCCCC,"di(heneicosan-11-yl) 8,8'-((2-hydroxyethyl)azanediyl)dioctanoate",HIGH,OK
137,Image,Target_Compound,Compound 32,,OCCN(CCCCCCCC(=O)OC(CCCCCCC)CCCCCCC)CCCCCCCC(=O)OC(CCCCCCC)CCCCCCC,"di(pentadecan-8-yl) 8,8'-((2-hydroxyethyl)azanediyl)dioctanoate",HIGH,OK
138,Image,Target_Compound,Compound 33,Compound 25,OCCN(CCCCCCCC(=O)OC(CCCCCCC)CCCCCCCCC)CCCCCCCC(=O)OC(CCCCCCC)CCCCCCCCC,"di(heptadecan-8-yl) 8,8'-((2-hydroxyethyl)azanediyl)dioctanoate",HIGH,OK
138,Image,Target_Compound,Compound 34,,OCCN(CCCCCCCC(=O)OC(CCCCC)CCCCCCCCC)CCCCCCCC(=O)OC(CCCCC)CCCCCCCCC,"di(pentadecan-6-yl) 8,8'-((2-hydroxyethyl)azanediyl)dioctanoate",HIGH,OK
138,Image,Target_Compound,Compound 35,,OCCN(CCCCCCCC(=O)OC(CCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCC)CCCCCCCC,"di(tridecan-5-yl) 8,8'-((2-hydroxyethyl)azanediyl)dioctanoate",HIGH,OK
138,Image,Target_Compound,Compound 36,,OCCN(CCCCCCCC(=O)OC(CCC)CCCCCCC)CCCCCCCC(=O)OC(CCC)CCCCCCC,"di(undecan-4-yl) 8,8'-((2-hydroxyethyl)azanediyl)dioctanoate",HIGH,OK
138,Image,Target_Compound,Compound 37,,C(C)(=O)NCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"di(heptadecan-9-yl) 8,8'-((3-acetamidopropyl)azanediyl)dioctanoate",HIGH,OK
138,Image,Target_Compound,Compound 38,,CS(=O)(=O)NCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC,"di(heptadecan-9-yl) 8,8'-((3-(methylsulfonamido)propyl)azanediyl)dioctanoate",HIGH,OK
138,Image,Target_Compound,Compound 39,,CN(C(NCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)=O)C,"di(heptadecan-9-yl) 8,8'-((3-(3,3-dimethylureido)propyl)azanediyl)dioctanoate",HIGH,OK
139,Image,Target_Compound,Compound 40,,CN(C(NCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)=S)C,"di(heptadecan-9-yl) 8,8'-((3-(3,3-dimethylthioureido)propyl)azanediyl)dioctanoate",HIGH,OK
139,Image,Target_Compound,Compound 41,,CNC(NCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)=O,"di(heptadecan-9-yl) 8,8'-((3-(3-methylureido)propyl)azanediyl)dioctanoate",HIGH,OK
139,Image,Target_Compound,Compound 42,,CNC(NCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)=S,"di(heptadecan-9-yl) 8,8'-((3-(3-methylthioureido)propyl)azanediyl)dioctanoate",HIGH,OK
